Row_ID,Order_ID,Order_Date_Month,Order_Date_day,Order_Date_Year,Ship_Date_Month,Ship_Date_day,Ship_Date_Year,Ship_Mode,Customer_ID,Postal_Code,Product_ID,Sales,Quantity,Discount,Profit,Time_Frame,Ship_Mode_Rank
1,CA-2016-152156,11,8,2016,11,11,2016,Second Class,CG-12520,42420,FUR-BO-10001798,261.96,2,0,41.9136,3,3
2,CA-2016-152156,11,8,2016,11,11,2016,Second Class,CG-12520,42420,FUR-CH-10000454,731.94,3,0,219.582,3,3
3,CA-2016-138688,6,12,2016,6,16,2016,Second Class,DV-13045,90036,OFF-LA-10000240,14.62,2,0,6.8714,4,3
4,US-2015-108966,10,11,2015,10,18,2015,Standard Class,SO-20335,33311,FUR-TA-10000577,957.5775,5,0.45,-383.031,7,4
5,US-2015-108966,10,11,2015,10,18,2015,Standard Class,SO-20335,33311,OFF-ST-10000760,22.368,2,0.2,2.5164,7,4
6,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,FUR-FU-10001487,48.86,7,0,14.1694,5,4
7,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,OFF-AR-10002833,7.28,4,0,1.9656,5,4
8,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,TEC-PH-10002275,907.152,6,0.2,90.7152,5,4
9,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,OFF-BI-10003910,18.504,3,0.2,5.7825,5,4
10,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,OFF-AP-10002892,114.9,5,0,34.47,5,4
11,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,FUR-TA-10001539,1706.184,9,0.2,85.3092,5,4
12,CA-2014-115812,6,9,2014,6,14,2014,Standard Class,BH-11710,90032,TEC-PH-10002033,911.424,4,0.2,68.3568,5,4
13,CA-2017-114412,4,15,2017,4,20,2017,Standard Class,AA-10480,28027,OFF-PA-10002365,15.552,3,0.2,5.4432,5,4
14,CA-2016-161389,12,5,2016,12,10,2016,Standard Class,IM-15070,98103,OFF-BI-10003656,407.976,3,0.2,132.5922,5,4
15,US-2015-118983,11,22,2015,11,26,2015,Standard Class,HP-14815,76106,OFF-AP-10002311,68.81,5,0.8,-123.858,4,4
16,US-2015-118983,11,22,2015,11,26,2015,Standard Class,HP-14815,76106,OFF-BI-10000756,2.544,3,0.8,-3.816,4,4
17,CA-2014-105893,11,11,2014,11,18,2014,Standard Class,PK-19075,53711,OFF-ST-10004186,665.88,6,0,13.3176,7,4
18,CA-2014-167164,5,13,2014,5,15,2014,Second Class,AG-10270,84084,OFF-ST-10000107,55.5,2,0,9.99,2,3
19,CA-2014-143336,8,27,2014,9,1,2014,Second Class,ZD-21925,94109,OFF-AR-10003056,8.56,2,0,2.4824,5,3
20,CA-2014-143336,8,27,2014,9,1,2014,Second Class,ZD-21925,94109,TEC-PH-10001949,213.48,3,0.2,16.011,5,3
21,CA-2014-143336,8,27,2014,9,1,2014,Second Class,ZD-21925,94109,OFF-BI-10002215,22.72,4,0.2,7.384,5,3
22,CA-2016-137330,12,9,2016,12,13,2016,Standard Class,KB-16585,68025,OFF-AR-10000246,19.46,7,0,5.0596,4,4
23,CA-2016-137330,12,9,2016,12,13,2016,Standard Class,KB-16585,68025,OFF-AP-10001492,60.34,7,0,15.6884,4,4
24,US-2017-156909,7,16,2017,7,18,2017,Second Class,SF-20065,19140,FUR-CH-10002774,71.372,2,0.3,-1.0196,2,3
25,CA-2015-106320,9,25,2015,9,30,2015,Standard Class,EB-13870,84057,FUR-TA-10000577,1044.63,3,0,240.2649,5,4
26,CA-2016-121755,1,16,2016,1,20,2016,Second Class,EH-13945,90049,OFF-BI-10001634,11.648,2,0.2,4.2224,4,3
27,CA-2016-121755,1,16,2016,1,20,2016,Second Class,EH-13945,90049,TEC-AC-10003027,90.57,3,0,11.7741,4,3
